Id,Name
1,maintained
2,maintained?
3,"in development"
4,"No longer developed, but still available"
5,"not maintained"
6,finished
7,finalized
8,"Need approx 2 weeks work to solve known bugs and to update to 3.3 (Olof Olsson)"
9,abandoned
10,unclear
11,?
