Id,Name
0,"source and target schema knowledge -> XML schema expert"
1,novice
2,expert
3,advanced
4,"Lot of DDI knowledge needed -> DDI expert"
5,"Technical knowledge about OAI-PMH, basic system admistration skills -> OAI-PMH expert"
6,"advanced/expert (if developed to web service and with more documentation -> novice)"
7,"Knowledge of R required"
